,amp1,pos1,sig1,amp2,pos2,sig2,amp3,pos3,sig3,mutof,norm,mu1,mu2,mu3,n1
amp1,1.0000e+00,3.5890e-01,1.7708e-01,-9.2988e-05,4.2125e-01,-6.0583e-01,-8.5039e-02,-2.5304e-01,2.1163e-01,7.1677e-04,-2.4242e-03,2.2546e-03,5.3268e-03,1.6997e-02,1.0442e-03
pos1,3.5890e-01,1.0000e+00,8.2985e-01,-2.0871e-01,5.7312e-01,-3.8899e-01,-4.0511e-02,-7.3439e-02,7.7058e-02,2.1362e-03,1.1590e-02,-2.4506e-03,-2.4743e-03,-3.4558e-02,-2.8296e-03
sig1,1.7708e-01,8.2985e-01,1.0000e+00,-1.1393e-01,5.5503e-01,-5.0037e-01,-3.8499e-02,-1.4289e-01,1.1268e-01,3.2696e-03,1.4443e-02,-2.3474e-03,2.5719e-03,-9.8192e-03,-4.1210e-03
amp2,-9.2988e-05,-2.0871e-01,-1.1393e-01,1.0000e+00,2.1140e-01,4.5073e-03,5.3017e-01,2.8122e-01,-6.0944e-01,-5.4503e-02,-2.6433e-01,5.7818e-02,-4.1536e-02,-1.1397e-02,8.8897e-02
pos2,4.2125e-01,5.7312e-01,5.5503e-01,2.1140e-01,1.0000e+00,-9.5512e-02,2.1118e-01,3.5676e-01,-3.7544e-01,1.8519e-03,1.6209e-02,-1.2217e-02,-1.8009e-02,-1.1248e-02,-1.1078e-02
sig2,-6.0583e-01,-3.8899e-01,-5.0037e-01,4.5073e-03,-9.5512e-02,1.0000e+00,3.1304e-01,6.1117e-01,-6.0533e-01,-8.1548e-03,-4.6949e-02,1.0828e-02,-3.0834e-03,2.6888e-02,1.5691e-02
amp3,-8.5039e-02,-4.0511e-02,-3.8499e-02,5.3017e-01,2.1118e-01,3.1304e-01,1.0000e+00,-3.7917e-02,-8.4412e-01,-5.1239e-02,-2.8722e-01,6.0441e-02,-5.1178e-02,1.4639e-03,9.5576e-02
pos3,-2.5304e-01,-7.3439e-02,-1.4289e-01,2.8122e-01,3.5676e-01,6.1117e-01,-3.7917e-02,1.0000e+00,-4.9788e-01,2.6109e-02,1.5857e-01,-3.5980e-02,2.3368e-02,-2.5190e-02,-5.4819e-02
sig3,2.1163e-01,7.7058e-02,1.1268e-01,-6.0944e-01,-3.7544e-01,-6.0533e-01,-8.4412e-01,-4.9788e-01,1.0000e+00,2.3033e-02,1.4698e-01,-3.3488e-02,2.0915e-02,-2.1894e-02,-5.1021e-02
mutof,7.1677e-04,2.1362e-03,3.2696e-03,-5.4503e-02,1.8519e-03,-8.1548e-03,-5.1239e-02,2.6109e-02,2.3033e-02,1.0000e+00,2.3167e-01,-4.2756e-02,4.8197e-02,5.4923e-02,-7.0292e-02
norm,-2.4242e-03,1.1590e-02,1.4443e-02,-2.6433e-01,1.6209e-02,-4.6949e-02,-2.8722e-01,1.5857e-01,1.4698e-01,2.3167e-01,1.0000e+00,-2.0166e-01,2.0430e-01,2.3288e-01,-3.2398e-01
mu1,2.2546e-03,-2.4506e-03,-2.3474e-03,5.7818e-02,-1.2217e-02,1.0828e-02,6.0441e-02,-3.5980e-02,-3.3488e-02,-4.2756e-02,-2.0166e-01,1.0000e+00,-4.0813e-02,-5.2662e-02,7.6841e-01
mu2,5.3268e-03,-2.4743e-03,2.5719e-03,-4.1536e-02,-1.8009e-02,-3.0834e-03,-5.1178e-02,2.3368e-02,2.0915e-02,4.8197e-02,2.0430e-01,-4.0813e-02,1.0000e+00,1.7843e-01,-7.3754e-02
mu3,1.6997e-02,-3.4558e-02,-9.8192e-03,-1.1397e-02,-1.1248e-02,2.6888e-02,1.4639e-03,-2.5190e-02,-2.1894e-02,5.4923e-02,2.3288e-01,-5.2662e-02,1.7843e-01,1.0000e+00,-1.1293e-01
n1,1.0442e-03,-2.8296e-03,-4.1210e-03,8.8897e-02,-1.1078e-02,1.5691e-02,9.5576e-02,-5.4819e-02,-5.1021e-02,-7.0292e-02,-3.2398e-01,7.6841e-01,-7.3754e-02,-1.1293e-01,1.0000e+00
