#: table_doi: 10.17182/hepdata.92323.v2/t5
#: name: Delta Chi-squared Map (two-dimensional method)
#: description: $\Delta \chi^2$ map of phase-I+II data calculated by the two-dimensional method. To be used in combination with the $\Delta \chi^2_{\text{crit},x}$ values of the two-dimensional method to generate exclusion contours at $x$% C.L. for phase-I+II data. Additional explanations are given there.
#: data_file: DeltaChisquaredValues2D.yaml
#: keyword observables: Delta Chi^2
#: keyword phrases: Delta Chi-squared Map
#: ,delta chi-squared values
$\sin^{2}(2\theta_{ee})$,$\Delta m^{2}_{41}$ [eV$^2$],$\Delta\chi^{2}$
0.01,0.1026,9
0.0105,0.1026,9
0.011,0.1026,9
0.0115,0.1026,9
0.012,0.1026,9.01
0.0126,0.1026,9.01
0.0132,0.1026,9.01
0.0138,0.1026,9.01
0.0145,0.1026,9.01
0.0152,0.1026,9.01
0.0159,0.1026,9.02
0.0167,0.1026,9.02
0.0175,0.1026,9.02
0.0183,0.1026,9.02
0.0192,0.1026,9.03
0.0201,0.1026,9.03
0.021,0.1026,9.03
0.0221,0.1026,9.03
0.0231,0.1026,9.04
0.0242,0.1026,9.04
0.0254,0.1026,9.04
0.0266,0.1026,9.05
0.0278,0.1026,9.05
0.0292,0.1026,9.06
0.0305,0.1026,9.06
0.032,0.1026,9.06
0.0335,0.1026,9.07
0.0351,0.1026,9.07
0.0368,0.1026,9.08
0.0385,0.1026,9.08
0.0404,0.1026,9.09
0.0423,0.1026,9.1
0.0443,0.1026,9.1
0.0464,0.1026,9.11
0.0486,0.1026,9.12
0.0509,0.1026,9.12
0.0534,0.1026,9.13
0.0559,0.1026,9.14
0.0586,0.1026,9.15
0.0614,0.1026,9.16
0.0643,0.1026,9.16
0.0673,0.1026,9.17
0.0705,0.1026,9.19
0.0739,0.1026,9.2
0.0774,0.1026,9.21
0.0811,0.1026,9.22
0.085,0.1026,9.23
0.089,0.1026,9.25
0.0933,0.1026,9.26
0.0977,0.1026,9.27
0.1024,0.1026,9.29
0.1072,0.1026,9.31
0.1123,0.1026,9.32
0.1177,0.1026,9.34
0.1233,0.1026,9.36
0.1292,0.1026,9.38
0.1353,0.1026,9.41
0.1417,0.1026,9.43
0.1485,0.1026,9.45
0.1556,0.1026,9.48
0.163,0.1026,9.51
0.1707,0.1026,9.54
0.1789,0.1026,9.57
0.1874,0.1026,9.6
0.1963,0.1026,9.64
0.2057,0.1026,9.67
0.2154,0.1026,9.71
0.2257,0.1026,9.75
0.2364,0.1026,9.8
0.2477,0.1026,9.85
0.2595,0.1026,9.9
0.2719,0.1026,9.95
0.2848,0.1026,10.01
0.2984,0.1026,10.07
0.3126,0.1026,10.13
0.3275,0.1026,10.2
0.343,0.1026,10.28
0.3594,0.1026,10.36
0.3765,0.1026,10.44
0.3944,0.1026,10.54
0.4132,0.1026,10.63
0.4329,0.1026,10.74
0.4535,0.1026,10.85
0.4751,0.1026,10.98
0.4977,0.1026,11.11
0.5214,0.1026,11.25
0.5462,0.1026,11.4
0.5722,0.1026,11.57
0.5995,0.1026,11.75
0.628,0.1026,11.94
0.6579,0.1026,12.15
0.6893,0.1026,12.38
0.7221,0.1026,12.63
0.7565,0.1026,12.9
0.7925,0.1026,13.19
0.8302,0.1026,13.52
0.8697,0.1026,13.87
0.9112,0.1026,14.25
0.9545,0.1026,14.67
1,0.1026,14.67
0.01,0.108,9
0.0105,0.108,9
0.011,0.108,9.01
0.0115,0.108,9.01
0.012,0.108,9.01
0.0126,0.108,9.01
0.0132,0.108,9.01
0.0138,0.108,9.01
0.0145,0.108,9.02
0.0152,0.108,9.02
0.0159,0.108,9.02
0.0167,0.108,9.02
0.0175,0.108,9.03
0.0183,0.108,9.03
0.0192,0.108,9.03
0.0201,0.108,9.03
0.021,0.108,9.04
0.0221,0.108,9.04
0.0231,0.108,9.04
0.0242,0.108,9.05
0.0254,0.108,9.05
0.0266,0.108,9.06
0.0278,0.108,9.06
0.0292,0.108,9.06
0.0305,0.108,9.07
0.032,0.108,9.07
0.0335,0.108,9.08
0.0351,0.108,9.08
0.0368,0.108,9.09
0.0385,0.108,9.1
0.0404,0.108,9.1
0.0423,0.108,9.11
0.0443,0.108,9.12
0.0464,0.108,9.12
0.0486,0.108,9.13
0.0509,0.108,9.14
0.0534,0.108,9.15
0.0559,0.108,9.16
0.0586,0.108,9.16
0.0614,0.108,9.17
0.0643,0.108,9.18
0.0673,0.108,9.2
0.0705,0.108,9.21
0.0739,0.108,9.22
0.0774,0.108,9.23
0.0811,0.108,9.25
0.085,0.108,9.26
0.089,0.108,9.27
0.0933,0.108,9.29
0.0977,0.108,9.31
0.1024,0.108,9.32
0.1072,0.108,9.34
0.1123,0.108,9.36
0.1177,0.108,9.38
0.1233,0.108,9.41
0.1292,0.108,9.43
0.1353,0.108,9.45
0.1417,0.108,9.48
0.1485,0.108,9.51
0.1556,0.108,9.54
0.163,0.108,9.57
0.1707,0.108,9.6
0.1789,0.108,9.63
0.1874,0.108,9.67
0.1963,0.108,9.71
0.2057,0.108,9.75
0.2154,0.108,9.8
0.2257,0.108,9.84
0.2364,0.108,9.89
0.2477,0.108,9.95
0.2595,0.108,10.01
0.2719,0.108,10.07
0.2848,0.108,10.13
0.2984,0.108,10.2
0.3126,0.108,10.28
0.3275,0.108,10.36
0.343,0.108,10.44
0.3594,0.108,10.53
0.3765,0.108,10.63
0.3944,0.108,10.74
0.4132,0.108,10.85
0.4329,0.108,10.97
0.4535,0.108,11.1
0.4751,0.108,11.25
0.4977,0.108,11.4
0.5214,0.108,11.57
